minute_bin,mid_bin_cents,n,win_rate_yes,avg_mid,avg_spread_cents,mispricing_yes_minus_mid
0,0,7,0.0,0.011428571428571429,2.2857142857142856,-0.011428571428571429
0,10,8,0.375,0.158125,31.625,0.216875
0,20,2,0.5,0.2,40.0,0.3
0,80,27,0.7407407407407407,0.8224074074074075,35.51851851851852,-0.08166666666666678
0,90,8,0.75,0.96125,7.75,-0.21125000000000005
1,0,3,0.3333333333333333,0.035,6.333333333333333,0.29833333333333334
1,10,25,0.24,0.16260000000000002,20.68,0.07739999999999997
1,20,93,0.34408602150537637,0.25806451612903225,14.903225806451612,0.08602150537634412
1,30,317,0.3722397476340694,0.35788643533123027,9.760252365930599,0.01435331230283915
1,40,734,0.4673024523160763,0.4549659400544959,8.134877384196185,0.01233651226158039
1,50,751,0.5605858854860186,0.5458455392809587,9.504660452729693,0.014740346205059929
1,60,335,0.6179104477611941,0.640179104477612,10.794029850746268,-0.022268656716417867
1,70,95,0.7052631578947368,0.7424736842105263,11.126315789473685,-0.03721052631578947
1,80,33,0.7878787878787878,0.826060606060606,20.90909090909091,-0.038181818181818206
1,90,1,1.0,0.96,2.0,0.040000000000000036
2,0,6,0.0,0.07166666666666667,4.0,-0.07166666666666667
2,10,61,0.13114754098360656,0.15991803278688524,8.868852459016393,-0.028770491803278675
2,20,191,0.2617801047120419,0.25662303664921465,7.827225130890052,0.00515706806282723
2,30,381,0.3753280839895013,0.3526902887139108,6.63254593175853,0.02263779527559051
2,40,535,0.45607476635514016,0.4497757009345794,5.94392523364486,0.0062990654205607455
2,50,529,0.5463137996219282,0.5469187145557656,6.181474480151229,-0.0006049149338374082
2,60,409,0.6650366748166259,0.6427628361858191,6.635696821515892,0.022273838630806786
2,70,226,0.7256637168141593,0.7391592920353982,7.212389380530974,-0.013495575221238898
2,80,73,0.7945205479452054,0.8354109589041095,8.643835616438356,-0.04089041095890411
2,90,12,0.8333333333333334,0.93,5.333333333333333,-0.09666666666666668
3,0,19,0.10526315789473684,0.07736842105263157,5.894736842105263,0.027894736842105264
3,10,123,0.10569105691056911,0.1601219512195122,8.91869918699187,-0.05443089430894309
3,20,248,0.2217741935483871,0.2551008064516129,7.310483870967742,-0.03332661290322583
3,30,322,0.3385093167701863,0.3483385093167702,6.605590062111801,-0.009829192546583876
3,40,433,0.44803695150115475,0.4494572748267898,6.288683602771362,-0.0014203233256350756
3,50,441,0.5600907029478458,0.5462925170068027,6.09750566893424,0.013798185941043095
3,60,420,0.680952380952381,0.6461309523809524,6.7595238095238095,0.03482142857142856
3,70,260,0.7615384615384615,0.7452307692307693,7.138461538461539,0.016307692307692245
3,80,141,0.8226950354609929,0.8432269503546099,8.148936170212766,-0.020531914893617054
3,90,24,0.875,0.9258333333333333,3.8333333333333335,-0.050833333333333286
4,0,44,0.045454545454545456,0.07125,5.5227272727272725,-0.025795454545454538
4,10,162,0.11728395061728394,0.1511111111111111,8.481481481481481,-0.03382716049382717
4,20,292,0.2191780821917808,0.25010273972602737,7.226027397260274,-0.030924657534246558
4,30,344,0.3226744186046512,0.34837209302325584,5.738372093023256,-0.025697674418604655
4,40,321,0.46417445482866043,0.4520560747663551,6.610591900311526,0.012118380062305312
4,50,376,0.5930851063829787,0.5458510638297872,6.957446808510638,0.047234042553191524
4,60,347,0.7002881844380403,0.6460662824207494,6.106628242074928,0.054221902017290935
4,70,302,0.7384105960264901,0.7429139072847682,6.986754966887418,-0.0045033112582781865
4,80,192,0.8385416666666666,0.84359375,6.739583333333333,-0.005052083333333401
4,90,52,0.9423076923076923,0.9300961538461539,5.403846153846154,0.01221153846153844
5,0,81,0.037037037037037035,0.07092592592592592,5.222222222222222,-0.033888888888888885
5,10,207,0.12077294685990338,0.1516183574879227,6.565217391304348,-0.030845410628019335
5,20,279,0.2007168458781362,0.24879928315412186,6.978494623655914,-0.04808243727598566
5,30,296,0.3310810810810811,0.34761824324324325,6.111486486486487,-0.016537162162162167
5,40,296,0.5067567567567568,0.44653716216216216,7.212837837837838,0.06021959459459464
5,50,330,0.5545454545454546,0.5484696969696969,6.7,0.006075757575757623
5,60,331,0.6525679758308157,0.6488519637462236,7.293051359516617,0.0037160120845921574
5,70,284,0.7852112676056338,0.7463732394366197,6.676056338028169,0.03883802816901405
5,80,227,0.8414096916299559,0.8444933920704846,6.79295154185022,-0.003083700440528636
5,90,104,0.9326923076923077,0.9290865384615384,4.798076923076923,0.0036057692307692735
6,0,128,0.03125,0.06890625,5.4375,-0.03765625
6,10,235,0.11914893617021277,0.1497872340425532,6.54468085106383,-0.03063829787234043
6,20,282,0.21631205673758866,0.24822695035460993,6.659574468085107,-0.03191489361702127
6,30,261,0.2567049808429119,0.349080459770115,6.582375478927203,-0.0923754789272031
6,40,241,0.46473029045643155,0.44968879668049794,6.535269709543568,0.015041493775933612
6,50,260,0.6115384615384616,0.5487884615384615,7.411538461538462,0.06275000000000008
6,60,312,0.6506410256410257,0.6472756410256411,7.653846153846154,0.0033653846153846034
6,70,280,0.7928571428571428,0.7458571428571429,6.571428571428571,0.04699999999999993
6,80,278,0.8848920863309353,0.849820143884892,7.071942446043166,0.03507194244604328
6,90,152,0.9276315789473685,0.9316118421052632,4.8355263157894735,-0.003980263157894681
7,0,188,0.0425531914893617,0.0625,4.776595744680851,-0.0199468085106383
7,10,290,0.10344827586206896,0.1488103448275862,6.279310344827586,-0.04536206896551724
7,20,240,0.24583333333333332,0.24883333333333332,5.641666666666667,-0.0030000000000000027
7,30,238,0.27310924369747897,0.3496008403361345,7.063025210084033,-0.07649159663865551
7,40,211,0.45023696682464454,0.4514218009478673,7.308056872037914,-0.0011848341232227888
7,50,202,0.594059405940594,0.5483168316831682,6.633663366336633,0.04574257425742578
7,60,265,0.6716981132075471,0.6486037735849056,6.7622641509433965,0.023094339622641513
7,70,273,0.7728937728937729,0.7474908424908425,7.271062271062271,0.0254029304029304
7,80,292,0.8835616438356164,0.8464554794520548,6.565068493150685,0.037106164383561624
7,90,229,0.9563318777292577,0.9368777292576419,4.9475982532751095,0.01945414847161575
8,0,252,0.04365079365079365,0.05908730158730159,4.531746031746032,-0.015436507936507943
8,10,291,0.06529209621993128,0.1418384879725086,7.164948453608248,-0.07654639175257731
8,20,248,0.24596774193548387,0.2492741935483871,6.354838709677419,-0.003306451612903216
8,30,186,0.2849462365591398,0.3447043010752688,7.198924731182796,-0.05975806451612897
8,40,189,0.48677248677248675,0.44592592592592595,6.825396825396825,0.0408465608465608
8,50,181,0.5524861878453039,0.5475414364640884,7.530386740331492,0.004944751381215529
8,60,208,0.6586538461538461,0.6502884615384616,7.490384615384615,0.008365384615384497
8,70,266,0.7744360902255639,0.7525,7.2293233082706765,0.021936090225563976
8,80,302,0.890728476821192,0.8485430463576159,7.152317880794702,0.042185430463576146
8,90,304,0.9605263157894737,0.9400986842105263,4.6644736842105265,0.020427631578947336
9,0,340,0.03823529411764706,0.056764705882352946,4.4411764705882355,-0.018529411764705885
9,10,286,0.08041958041958042,0.1456118881118881,7.136363636363637,-0.06519230769230769
9,20,211,0.1990521327014218,0.24502369668246446,7.545023696682464,-0.04597156398104266
9,30,156,0.3141025641025641,0.3513782051282051,7.621794871794871,-0.037275641025641015
9,40,172,0.4418604651162791,0.44377906976744186,7.558139534883721,-0.0019186046511627808
9,50,152,0.5789473684210527,0.5480592105263158,7.243421052631579,0.030888157894736867
9,60,175,0.68,0.6495142857142856,7.102857142857143,0.03048571428571445
9,70,220,0.7454545454545455,0.747909090909091,7.4818181818181815,-0.002454545454545487
9,80,318,0.8805031446540881,0.8497169811320755,6.6918238993710695,0.030786163522012577
9,90,400,0.9675,0.9454125000000001,4.2375,0.022087499999999927
10,0,434,0.020737327188940093,0.05073732718894009,4.23963133640553,-0.03
10,10,268,0.11194029850746269,0.14416044776119402,6.369402985074627,-0.03222014925373133
10,20,172,0.19767441860465115,0.2477906976744186,7.441860465116279,-0.050116279069767455
10,30,158,0.31645569620253167,0.34772151898734177,7.936708860759493,-0.031265822784810104
10,40,122,0.39344262295081966,0.44991803278688525,7.081967213114754,-0.05647540983606558
10,50,141,0.5460992907801419,0.546241134751773,7.6453900709219855,-0.00014184397163119478
10,60,140,0.7142857142857143,0.6483571428571429,8.528571428571428,0.06592857142857145
10,70,183,0.726775956284153,0.7498087431693989,7.382513661202186,-0.023032786885245904
10,80,285,0.8982456140350877,0.8492280701754386,7.36140350877193,0.04901754385964918
10,90,522,0.9674329501915708,0.9475287356321839,4.318007662835249,0.019904214559386957
11,0,521,0.023032629558541268,0.045326295585412665,4.021113243761996,-0.022293666026871398
11,10,257,0.08171206225680934,0.1434241245136187,7.128404669260701,-0.06171206225680935
11,20,160,0.24375,0.24581250000000002,8.0375,-0.0020625000000000226
11,30,129,0.3178294573643411,0.34662790697674417,7.294573643410852,-0.028798449612403076
11,40,110,0.43636363636363634,0.4476818181818182,8.427272727272728,-0.011318181818181838
11,50,112,0.5803571428571429,0.5531696428571429,7.919642857142857,0.02718750000000003
11,60,131,0.6412213740458015,0.6536259541984732,7.305343511450381,-0.012404580152671763
11,70,142,0.7887323943661971,0.7582394366197183,7.464788732394366,0.030492957746478866
11,80,247,0.8947368421052632,0.8532388663967612,7.983805668016195,0.041497975708502
11,90,608,0.975328947368421,0.9544078947368421,4.118421052631579,0.02092105263157895
12,0,630,0.009523809523809525,0.040817460317460315,4.449206349206349,-0.03129365079365079
12,10,201,0.09950248756218906,0.14216417910447762,7.676616915422885,-0.04266169154228856
12,20,144,0.20833333333333334,0.2445138888888889,10.0,-0.03618055555555555
12,30,114,0.2807017543859649,0.3448684210526316,8.93859649122807,-0.0641666666666667
12,40,84,0.4523809523809524,0.44892857142857145,8.0,0.003452380952380929
12,50,79,0.569620253164557,0.5525949367088607,9.227848101265822,0.01702531645569627
12,60,95,0.6210526315789474,0.6437894736842105,7.178947368421053,-0.022736842105263055
12,70,129,0.7674418604651163,0.7511627906976744,9.286821705426357,0.016279069767441867
12,80,197,0.8984771573604061,0.855710659898477,8.898477157360405,0.042766497461929065
12,90,716,0.9902234636871509,0.9598184357541899,4.511173184357542,0.03040502793296096
13,0,736,0.010869565217391304,0.03396059782608696,4.099184782608695,-0.023091032608695654
13,10,183,0.08743169398907104,0.1385792349726776,9.475409836065573,-0.05114754098360656
13,20,87,0.14942528735632185,0.2470689655172414,10.172413793103448,-0.09764367816091954
13,30,75,0.30666666666666664,0.34193333333333337,9.053333333333333,-0.035266666666666724
13,40,52,0.34615384615384615,0.44644230769230764,9.173076923076923,-0.10028846153846149
13,50,73,0.5753424657534246,0.5468493150684932,9.04109589041096,0.028493150684931412
13,60,63,0.7142857142857143,0.6488888888888888,8.984126984126984,0.06539682539682545
13,70,85,0.7411764705882353,0.7427058823529411,10.541176470588235,-0.0015294117647057792
13,80,134,0.9328358208955224,0.8539925373134328,10.529850746268657,0.07884328358208958
13,90,843,0.9893238434163701,0.9651957295373665,4.232502965599051,0.0241281138790036
14,0,747,0.0013386880856760374,0.023145917001338688,3.5930388219544844,-0.02180722891566265
14,10,136,0.08088235294117647,0.13466911764705883,18.801470588235293,-0.05378676470588235
14,20,42,0.047619047619047616,0.24321428571428572,15.5,-0.1955952380952381
14,30,34,0.14705882352941177,0.3473529411764706,16.0,-0.20029411764705882
14,40,26,0.38461538461538464,0.4463461538461539,16.03846153846154,-0.061730769230769256
14,50,31,0.4838709677419355,0.5367741935483871,14.709677419354838,-0.05290322580645157
14,60,31,0.6774193548387096,0.6495161290322581,14.548387096774194,0.027903225806451548
14,70,39,0.8205128205128205,0.7514102564102564,17.666666666666668,0.0691025641025641
14,80,141,0.9716312056737588,0.8603900709219858,20.75886524822695,0.111241134751773
14,90,807,0.9925650557620818,0.9751363073110285,3.9516728624535316,0.017428748451053244
