minute_bin,ask_bin_cents,n,win_rate_yes,avg_ask_cents,avg_spread_cents,mean_taker_pnl_cents
0,0,6,0.0,1.0,1.0,-2.0
0,10,1,0.0,10.0,10.0,-11.0
0,20,2,0.5,20.0,20.0,28.0
0,30,6,0.3333333333333333,35.5,35.5,-4.166666666666667
0,40,2,0.5,40.0,40.0,8.0
0,100,35,0.7428571428571429,100.0,29.17142857142857,-26.714285714285715
1,0,2,0.5,4.5,4.5,44.5
1,10,6,0.0,15.0,5.0,-16.333333333333332
1,20,30,0.4,26.066666666666666,8.0,11.933333333333334
1,30,195,0.3435897435897436,35.03589743589744,8.558974358974359,-2.6769230769230767
1,40,573,0.4205933682373473,45.01570680628272,7.127399650959861,-4.956369982547993
1,50,735,0.5102040816326531,54.07891156462585,7.892517006802721,-5.058503401360544
1,60,537,0.6033519553072626,63.96648044692738,11.899441340782124,-5.631284916201118
1,70,218,0.6192660550458715,73.60550458715596,15.022935779816514,-13.678899082568808
1,80,58,0.6896551724137931,82.84482758620689,18.137931034482758,-15.413793103448276
1,90,22,0.7727272727272727,93.63636363636364,26.181818181818183,-17.363636363636363
1,100,11,0.9090909090909091,100.0,33.09090909090909,-10.090909090909092
2,0,3,0.0,8.0,2.3333333333333335,-9.0
2,10,31,0.0,15.838709677419354,3.6129032258064515,-17.225806451612904
2,20,129,0.27906976744186046,25.46511627906977,5.147286821705427,0.4418604651162791
2,30,327,0.3333333333333333,34.90214067278288,6.0,-3.5688073394495414
2,40,489,0.4212678936605317,44.77505112474438,5.940695296523518,-4.6482617586912065
2,50,550,0.5145454545454545,54.28,6.038181818181818,-4.825454545454545
2,60,445,0.6202247191011236,64.08089887640449,6.680898876404495,-4.058426966292135
2,70,292,0.7054794520547946,73.81164383561644,7.780821917808219,-5.263698630136986
2,80,114,0.7631578947368421,83.28947368421052,9.74561403508772,-8.456140350877194
2,90,35,0.8285714285714286,93.51428571428572,14.971428571428572,-11.657142857142857
2,100,8,0.75,100.0,28.125,-26.0
3,0,9,0.0,8.333333333333334,2.6666666666666665,-9.333333333333334
3,10,65,0.15384615384615385,15.63076923076923,3.707692307692308,-1.6
3,20,199,0.16080402010050251,25.08542713567839,5.894472361809045,-11.00502512562814
3,30,313,0.2971246006389776,34.47284345047923,6.936102236421725,-6.76038338658147
3,40,402,0.40049751243781095,44.67910447761194,6.08457711442786,-6.629353233830845
3,50,451,0.532150776053215,54.30376940133038,6.401330376940133,-3.0886917960088693
3,60,423,0.6312056737588653,64.25531914893617,6.0591016548463354,-3.1347517730496453
3,70,304,0.7631578947368421,74.1217105263158,7.088815789473684,0.19407894736842105
3,80,182,0.7582417582417582,83.78571428571429,9.43956043956044,-9.351648351648352
3,90,67,0.8208955223880597,92.5223880597015,10.805970149253731,-11.432835820895523
3,100,16,0.8125,100.0,24.6875,-19.75
4,0,27,0.037037037037037035,7.592592592592593,2.4444444444444446,-4.888888888888889
4,10,108,0.08333333333333333,15.527777777777779,4.62962962962963,-8.50925925925926
4,20,250,0.192,25.084,5.844,-7.884
4,30,333,0.2822822822822823,34.513513513513516,6.495495495495495,-8.285285285285285
4,40,313,0.4185303514376997,44.284345047923324,6.584664536741214,-4.431309904153355
4,50,369,0.5420054200542005,54.25745257452574,6.233062330623306,-2.0569105691056913
4,60,367,0.6512261580381471,64.33787465940054,6.7193460490463215,-1.215258855585831
4,70,322,0.7298136645962733,74.27639751552795,7.1521739130434785,-3.2950310559006213
4,80,237,0.810126582278481,84.28691983122363,7.350210970464135,-4.620253164556962
4,90,89,0.898876404494382,93.93258426966293,9.47191011235955,-5.044943820224719
4,100,17,0.8823529411764706,100.0,19.88235294117647,-12.764705882352942
5,0,44,0.045454545454545456,7.340909090909091,2.1363636363636362,-3.7954545454545454
5,10,168,0.08333333333333333,15.107142857142858,4.559523809523809,-8.029761904761905
5,20,253,0.1541501976284585,24.731225296442688,5.996047430830039,-11.316205533596838
5,30,292,0.2876712328767123,34.53767123287671,6.174657534246576,-7.77054794520548
5,40,285,0.45614035087719296,44.14736842105263,6.603508771929825,-0.5333333333333333
5,50,315,0.5238095238095238,54.41587301587302,6.980952380952381,-4.034920634920635
5,60,324,0.6327160493827161,64.26851851851852,6.833333333333333,-2.996913580246914
5,70,312,0.7339743589743589,74.03846153846153,7.211538461538462,-2.641025641025641
5,80,265,0.8075471698113208,84.2188679245283,7.283018867924528,-4.80377358490566
5,90,151,0.8940397350993378,93.49668874172185,7.430463576158941,-5.0927152317880795
5,100,26,0.9615384615384616,100.0,17.615384615384617,-4.846153846153846
6,0,66,0.030303030303030304,6.833333333333333,2.287878787878788,-4.803030303030303
6,10,218,0.09174311926605505,14.857798165137615,5.0963302752293576,-6.9036697247706424
6,20,250,0.172,24.568,5.812,-9.368
6,30,268,0.26492537313432835,34.13059701492537,6.981343283582089,-9.638059701492537
6,40,241,0.34439834024896265,44.14522821576764,6.5020746887966805,-11.705394190871369
6,50,269,0.5762081784386617,54.32342007434944,6.788104089219331,1.2973977695167287
6,60,287,0.6027874564459931,64.84320557491289,6.815331010452962,-6.564459930313589
6,70,292,0.7602739726027398,74.41438356164383,6.9965753424657535,-0.386986301369863
6,80,287,0.8606271777003485,84.42508710801394,7.393728222996516,0.3310104529616725
6,90,220,0.9,94.15454545454546,7.359090909090909,-5.154545454545454
6,100,31,0.9354838709677419,100.0,17.483870967741936,-7.451612903225806
7,0,116,0.034482758620689655,6.431034482758621,2.3879310344827585,-3.9827586206896552
7,10,267,0.08239700374531835,14.782771535580524,5.0187265917602994,-7.786516853932584
