side,entry_minute,entry_improve_cents,ttl_minutes,max_entry_spread_cents,attempts,fills,fill_rate,win_rate_given_fill,mean_entry_px_filled,mean_settle_pnl_cents_per_fill,mean_settle_pnl_cents_per_attempt,ev_cents_per_hour_per_contract
NO,12,1,1,40,3688,1958,0.5309110629067245,0.3232890704800817,35.293156281920325,-2.964249233912155,-1.5737527114967462,-6.295010845986985
NO,12,0,1,40,3688,1777,0.48183297180043383,0.3005064715813168,33.427687113111986,-3.377039954980304,-1.627169197396963,-6.508676789587852
YES,8,0,1,40,3726,1798,0.4825550187869028,0.407119021134594,44.196885428253616,-3.4849833147942157,-1.6816961889425657,-6.726784755770263
NO,0,0,2,40,54,18,0.3333333333333333,0.5555555555555556,60.666666666666664,-5.111111111111111,-1.7037037037037037,-6.814814814814815
NO,13,1,1,40,3629,1767,0.4869109947643979,0.24731182795698925,28.260328239954724,-3.529145444255801,-1.718379718930835,-6.87351887572334
YES,2,1,1,40,3722,2209,0.593498119290704,0.450882752376641,48.02127659574468,-2.9330013580805794,-1.7407307898979043,-6.962923159591617
YES,9,0,1,40,3729,1826,0.4896755162241888,0.4008762322015334,43.65279299014239,-3.565169769989047,-1.745776347546259,-6.983105390185036
YES,2,2,1,40,3722,2379,0.6391724879097259,0.4573350147120639,48.46490121899958,-2.7313997477931906,-1.7458355722729715,-6.983342289091886
NO,12,2,1,40,3688,2050,0.5558568329718004,0.3307317073170732,36.222926829268296,-3.1497560975609757,-1.7508134490238612,-7.003253796095445
NO,9,2,1,40,3729,2232,0.5985518905872889,0.40770609318996415,43.69578853046595,-2.925179211469534,-1.7508715473317242,-7.003486189326897
NO,9,1,1,40,3729,2097,0.5623491552695092,0.3972341440152599,42.85216976633286,-3.128755364806867,-1.759452936444087,-7.037811745776348
YES,7,0,1,40,3727,1924,0.5162328950898847,0.4230769230769231,45.73804573804574,-3.4303534303534304,-1.7708612825328682,-7.083445130131473
YES,10,0,1,40,3724,1884,0.505907626208378,0.3895966029723992,42.475053078556265,-3.5153927813163484,-1.7784640171858217,-7.113856068743287
