minute_bin,entry_px_bin_cents,n,fill_rate,win_rate_given_fill,avg_entry_px_cents,avg_spread_cents,mean_maker_settle_pnl_cents_per_attempt,mean_maker_settle_pnl_cents_per_fill
0,0,17,0.4117647058823529,0.0,1.0,20.529411764705884,-0.4117647058823529,-1.0
0,60,23,0.21739130434782608,0.8,62.91304347826087,37.08695652173913,4.0,18.4
0,70,4,0.0,0.0,73.5,26.5,0.0,0.0
0,80,3,0.3333333333333333,1.0,81.66666666666667,18.333333333333332,6.666666666666667,20.0
0,90,5,1.0,0.6,98.6,1.4,-38.6,-38.6
1,0,32,0.03125,0.0,3.875,27.0625,-0.03125,-1.0
1,10,49,0.12244897959183673,0.16666666666666666,14.979591836734693,20.06122448979592,0.2857142857142857,2.3333333333333335
1,20,166,0.26506024096385544,0.2727272727272727,25.53614457831325,15.090361445783133,0.2469879518072289,0.9318181818181818
1,30,434,0.423963133640553,0.3641304347826087,35.145161290322584,11.435483870967742,0.4792626728110599,1.1304347826086956
1,40,806,0.43548387096774194,0.38746438746438744,44.575682382134,8.767990074441688,-2.478908188585608,-5.6923076923076925
1,50,614,0.47068403908794787,0.44982698961937717,53.66775244299674,7.697068403908795,-4.035830618892508,-8.57439446366782
1,60,219,0.54337899543379,0.6302521008403361,63.50684931506849,9.08675799086758,-0.2602739726027397,-0.4789915966386555
1,70,60,0.6333333333333333,0.6842105263157895,73.46666666666667,6.066666666666666,-3.15,-4.973684210526316
1,80,6,0.3333333333333333,1.0,82.5,4.0,5.333333333333333,16.0
1,90,1,1.0,1.0,95.0,2.0,5.0,5.0
2,0,30,0.06666666666666667,0.0,4.7,21.6,-0.5,-7.5
2,10,90,0.3888888888888889,0.11428571428571428,15.444444444444445,10.077777777777778,-1.6444444444444444,-4.228571428571429
2,20,234,0.47435897435897434,0.26126126126126126,25.102564102564102,8.102564102564102,0.2692307692307692,0.5675675675675675
2,30,413,0.5302663438256658,0.2968036529680365,34.65617433414044,6.757869249394673,-2.5786924939467313,-4.863013698630137
2,40,549,0.4772313296903461,0.3473282442748092,44.45719489981785,6.211293260473588,-4.644808743169399,-9.732824427480915
2,50,526,0.4600760456273764,0.5330578512396694,54.239543726235745,5.996197718631179,-0.4505703422053232,-0.9793388429752066
2,60,367,0.47956403269754766,0.6363636363636364,64.1008174386921,6.1880108991825615,-0.21525885558583105,-0.44886363636363635
2,70,156,0.5448717948717948,0.6941176470588235,73.4551282051282,5.038461538461538,-2.3525641025641026,-4.317647058823529
2,80,49,0.5714285714285714,0.7857142857142857,82.89795918367346,3.795918367346939,-2.489795918367347,-4.357142857142857
2,90,9,0.7777777777777778,0.8571428571428571,92.22222222222223,3.0,-5.222222222222222,-6.714285714285714
3,0,63,0.14285714285714285,0.0,5.063492063492063,16.841269841269842,-1.126984126984127,-7.888888888888889
3,10,148,0.4391891891891892,0.1076923076923077,15.412162162162161,8.945945945945946,-1.9864864864864864,-4.523076923076923
3,20,278,0.4892086330935252,0.18382352941176472,24.91726618705036,7.64748201438849,-3.3309352517985613,-6.8088235294117645
3,30,340,0.5558823529411765,0.328042328042328,34.54117647058823,6.794117647058823,-1.0647058823529412,-1.9153439153439153
3,40,438,0.4931506849315068,0.3888888888888889,44.66438356164384,6.13013698630137,-2.8059360730593608,-5.689814814814815
3,50,446,0.44170403587443946,0.48223350253807107,54.28251121076233,6.23542600896861,-2.717488789237668,-6.152284263959391
3,60,384,0.4453125,0.6608187134502924,64.16145833333333,6.6171875,0.9583333333333334,2.152046783625731
3,70,223,0.45739910313901344,0.6568627450980392,73.86995515695067,5.739910313901345,-3.7443946188340806,-8.186274509803921
3,80,92,0.5434782608695652,0.7,83.70652173913044,3.717391304347826,-7.521739130434782,-13.84
3,90,19,0.42105263157894735,0.75,91.84210526315789,2.473684210526316,-7.315789473684211,-17.375
4,0,109,0.1743119266055046,0.05263157894736842,5.10091743119266,13.55045871559633,-0.3119266055045872,-1.7894736842105263
4,10,170,0.4411764705882353,0.09333333333333334,14.770588235294118,8.18235294117647,-2.3411764705882354,-5.306666666666667
4,20,301,0.5083056478405316,0.16339869281045752,24.302325581395348,6.6544850498338874,-4.122923588039867,-8.11111111111111
4,30,344,0.5290697674418605,0.2692307692307692,34.17151162790697,6.031976744186046,-3.8924418604651163,-7.357142857142857
4,40,360,0.4583333333333333,0.44242424242424244,44.736111111111114,7.030555555555556,-0.05277777777777778,-0.11515151515151516
4,50,344,0.438953488372093,0.5629139072847682,54.17151162790697,6.444767441860465,0.9156976744186046,2.0860927152317883
4,60,368,0.4483695652173913,0.6363636363636364,64.14402173913044,6.448369565217392,-0.11956521739130435,-0.26666666666666666
4,70,256,0.42578125,0.6605504587155964,74.109375,5.8671875,-3.390625,-7.963302752293578
4,80,146,0.4246575342465753,0.8064516129032258,83.97945205479452,4.116438356164384,-1.4246575342465753,-3.3548387096774195
4,90,34,0.5294117647058824,0.8888888888888888,92.79411764705883,2.1470588235294117,-2.0588235294117645,-3.888888888888889
5,0,133,0.2857142857142857,0.02631578947368421,4.7669172932330826,10.022556390977444,-1.0977443609022557,-3.8421052631578947
5,10,232,0.521551724137931,0.09917355371900827,14.71551724137931,6.797413793103448,-2.5517241379310347,-4.892561983471074
5,20,283,0.45229681978798586,0.1875,24.346289752650176,7.409893992932862,-2.618374558303887,-5.7890625
5,30,322,0.546583850931677,0.2897727272727273,34.515527950310556,6.34472049689441,-2.919254658385093,-5.340909090909091
5,40,285,0.45263157894736844,0.3875968992248062,44.6140350877193,6.894736842105263,-2.6315789473684212,-5.813953488372093
