side,entry_minute,entry_improve_cents,ttl_minutes,tp_cents,stop_minute,stop_exit_ttl_minutes,stop_exit_improve_cents,max_entry_spread_cents,max_stop_spread_cents,fallback,attempts,fills,fill_rate,exits,exit_rate_given_fill,mean_entry_px_filled,mean_fill_minute,win_rate_given_fill,mean_settle_pnl_cents_per_fill,mean_pnl_cents_per_attempt,mean_pnl_cents_per_fill,ev_cents_per_hour_per_contract
NO,9,0,1,1,10,1,2,20,40,taker_exit,562,300,0.5338078291814946,300,1.0,39.14,9,0.36666666666666664,-2.473333333333333,-2.6459074733096086,-4.956666666666667,-10.583629893238435
NO,8,2,1,0,13,2,0,30,20,taker_exit,584,362,0.6198630136986302,351,0.9696132596685083,45.95303867403315,8,0.45027624309392267,-0.925414364640884,-2.6472602739726026,-4.2707182320441985,-10.58904109589041
NO,8,2,1,0,13,2,0,40,20,taker_exit,590,363,0.6152542372881356,351,0.9669421487603306,45.892561983471076,8,0.4490358126721763,-0.9889807162534435,-2.6610169491525424,-4.325068870523416,-10.64406779661017
NO,8,2,1,0,13,1,2,40,40,taker_exit,590,363,0.6152542372881356,359,0.9889807162534435,45.892561983471076,8,0.4490358126721763,-0.9889807162534435,-2.671186440677966,-4.341597796143251,-10.684745762711865
NO,8,0,1,1,13,2,1,40,40,taker_exit,590,297,0.5033898305084745,295,0.9932659932659933,44.68350168350168,8,0.43097643097643096,-1.5858585858585859,-2.6847457627118643,-5.333333333333333,-10.738983050847457
NO,9,0,1,3,10,2,1,40,30,taker_exit,589,303,0.5144312393887945,302,0.9966996699669967,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.6893039049235994,-5.227722772277228,-10.757215619694398
NO,8,0,1,1,13,2,0,30,40,taker_exit,584,296,0.5068493150684932,295,0.9966216216216216,44.76013513513514,8,0.43243243243243246,-1.5168918918918919,-2.690068493150685,-5.3074324324324325,-10.76027397260274
NO,9,0,1,2,10,1,1,30,30,taker_exit,581,303,0.5215146299483648,302,0.9966996699669967,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.693631669535284,-5.1650165016501655,-10.774526678141136
NO,9,0,1,1,10,1,1,40,30,taker_exit,589,303,0.5144312393887945,302,0.9966996699669967,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-2.6960950764006792,-5.240924092409241,-10.784380305602717
NO,8,0,1,1,13,1,2,40,20,taker_exit,590,297,0.5033898305084745,294,0.98989898989899,44.68350168350168,8,0.43097643097643096,-1.5858585858585859,-2.7186440677966104,-5.4006734006734005,-10.874576271186442
